,Description,Quality,tp,fp,TP,FP
9,ab_name = 'PENICILLIN',0.04559325649858172,4541,77,23598,35676
8,"ab_name = 'PENICILLIN', admission_type = 'EMERGENCY'",0.03875225587437736,3862,69,23598,35676
7,ab_name = 'ERYTHROMYCIN',0.03641800373034827,5043,2202,23598,35676
6,"ab_name = 'PENICILLIN', exitus = 'f'",0.035959202923857264,3579,57,23598,35676
5,"ab_name = 'ERYTHROMYCIN', days_with_treatment_last_180_days = '0'",0.034774706533322874,4860,2170,23598,35676
4,"ab_name = 'ERYTHROMYCIN', admission_type = 'EMERGENCY'",0.03126772606295053,4383,1971,23598,35676
3,"ab_name = 'PENICILLIN', admission_type = 'EMERGENCY', exitus = 'f'",0.030038959823623923,2992,51,23598,35676
2,"ab_name = 'ERYTHROMYCIN', admission_type = 'EMERGENCY', days_with_treatment_last_180_days = '0'",0.02988547803562288,4231,1947,23598,35676
1,ab_name = 'OXACILLIN',0.028840410407370624,5111,3433,23598,35676
0,"ab_name = 'OXACILLIN', days_with_treatment_last_180_days = '0', number_of_treatments_last_180_days = '0'",0.028793020510214287,5064,3369,23598,35676
